;Nobelprijs;Achternaam;Voornamen;Roepnaam;Geslacht;Titulatuur 1;Geboortedatum;Geboorteplaats;Geboorteland;Sterfdatum;Sterfplaats;Land van overlijden;Examentype;Instelling;Datum;Proefschrift;Aanstelling I;Vakgebied I;Datum aanstelling I;Ambtsaanvaarding I;Leeropdracht I;Datum oratie I;Oratie/openbare les;Faculteit I;Einde dienstverband I;Reden I;Bijzonderheden I;Aanstelling II;Vakgebied II;Datum aanstelling II;Ambtsaanvaarding II;Leeropdracht II (Onderwijs of Vakgebied);Datum oratie II;Oratie/Openbare les II;Faculteit II;Einde dienstverband II;Reden II;Bijzonderheden II;Aanstelling III;Vakgebied III;Datum aanstelling III;Ambtsaanvaarding III;Leeropdracht III (Onderwijs of Vakgebied);Datum oratie III;Oratie/openbare les III;Faculteit III;Einde dienstverband III;Reden III;Bijzonderheden III;Aanstelling IV;Vakgebied IV;Datum aanstelling IV;Ambtsaanvaarding IV;Leeropdracht IV (Onderwijs of Vakgebied);Datum oratie IV;Oratie/openbare les IV;Faculteit IV;Einde dienstverband IV;Reden IV;Bijzonderheden IV;CV 1;CV 2;VIAF;Handle;NTA / PPN
16;;Albinus;Bernhardus;Bernard;Man;;7-1-1653;Dessau;Duitsland;7-9-1721;Leiden;Nederland;Promotie;Leiden;1710;Disputatio juridica inauguralis de querela inofficiosi testamenti;Gewoon Hoogleraar;Anatomie;29-6-1702;;;19-10-1702;;Geneeskunde;7-9-1721;Overleden;Theoretische en Praktische Geneeskunde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1702-1721. Hoogleeraar.;"zie: Molhuysen „Bronnen"" IV: - Nieuw Nederl. Biogr. Woordenboek IV K. 21.";74662255;;68361211
17;;Albinus;Bernhardus Siegfried;;Man;;24-2-1697;Frankfurt (Oder);Duitsland;9-9-1770;Leiden;Nederland;;;;;Gewoon Lector;Anatomie;29-6-1719;;;2-10-1719;;Geneeskunde;;;"Rector Magnificus 1710-1711; 1726-1727; 1738-1739";Gewoon Hoogleraar;"Anatomie;Heelkunde";18-10-1721;;;19-11-1721;;Geneeskunde;;;1745 Kreeg hulp van zijn broeder F.B. Albinus, die lector werd in Ontleed- en Heelkunde;Gewoon Hoogleraar;"Anatomie;Fysiologie";30-8-1745;;;25-10-1746;;Geneeskunde;9-9-1770;Overleden;;;;;;;;;;;;;"(GENEESKUNDE) 1719-1770; Lector 1719-1721, Hoogleeraar 1721-1770.";"zie: Molhuysen „Bronnen"" IV en V: - Nieuw Nederl. Biogr. Woordenboek IV K. 22.";44289907;"1581780; 1620885; 1625065; 1621357; 1625069; 1621925; 1624545; 1619803; 1621489; 1620877; 1621020";69708207
18;;Albinus;Fredericus Bernhardus;;Man;;20-6-1715;Leiden;Nederland;23-5-1778;Leiden;Nederland;Promotie;Leiden;1740;Specimen philosophicum inaugurale, de meteoris ignitis;Gewoon Lector;Anatomie;9-8-1745;;;20-10-1745;Over de vermakelijkheden der ontleedkunde;Geneeskunde;;;"In dienst genomen als hulp voor zijn broer B.S. Albinus. Rector Magnificus 1754-1755; 1766-1767; 1778";Gewoon Hoogleraar;Anatomie;7-12-1747;;;28-6-1748;Over de oorzaken der geschillen tusschen de beoefenaars der ontleedkunde;Geneeskunde;1770;;;Gewoon Hoogleraar;"Anatomie;Heelkunde";1-10-1770;;;30-4-1771;Over het wandelen, en de nuttigheid, noodzakelijkheid en aangenaamheid daarvan;Geneeskunde;23-5-1778;Overleden;;;;;;;;;;;;;"(GENEESKUNDE) 1745-1778; Lector 1745-1747, Hoogleeraar 1747-1778.";"zie: Molhuysen „Bronnen"" V en VI; - Nieuw Nederl Biogr. Woordenboek IV K. 24.";30308324;;145852458
21;;Aler;Jean Matthieu Marie;;Man;;13-7-1910;Amsterdam;Nederland;30-6-1992;Amsterdam;Nederland;Promotie;Amsterdam;1947;Im Spiegel der Form : stilkritische Wege zur Deutung von Stefan Georges Maximin-dichtung;Gewoon Hoogleraar;Duitse Taal- en Letterkunde;19-6-1956;;Duitse Letterkunde;9-11-1956;De Sluier der Poëzie;Letteren;7-5-1965;Ontslag op verzoek;Vertrokken naar Universiteit van Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1957 blz. 119.;46803608;;68926413
24;;Allamand;Johannes Nicolaus Sebastianus;;Man;;18-9-1713;Lausanne;Zwitserland;2-3-1787;Leiden;Nederland;;;;;Gewoon Hoogleraar;"Natuurlijke Historie;Wiskunde";1-2-1749;;Wiskunde en wijsbegeerte;30-5-1749;;"Wiskunde en Natuurwetenschappen; Wijsbegeerte";;;1751 Opdracht het Kabinet van Natuurlijke Historie te ordenen en te beheren. Rector Magnificus 1759-1760;Gewoon Hoogleraar;Natuurkunde;19-9-1761;;Physica experimentale;;;"Wiskunde en Natuurwetenschappen; Wijsbegeerte";1784;emeritaat;;;;;;;;;;;;;;;;;;;;;;;;(WISKUNDE EN WIJSBEGEERTE) 1749-1784. Hoogleeraar.;"zie: Molhuysen „Bronnen"" V en VI. - Nieuw Nederl. Biogr. Woordenboek I K. 75.";66377611;"1582057; 1622564; 1623168; 1621091; 1624483";06986151X
30;;Alphen;Jan van;;Man;;8-3-1900;Leiden;Nederland;31-5-1969;Voorburg;Nederland;Promotie;Leiden;1924;Inwerking van keteenen op hydrazine-derivaten;Gewoon Lector;Scheikunde;27-2-1926;1-7-1928;Organische scheikunde;;;Wiskunde en Natuurwetenschappen;1-3-1946;Eervol ontslag op eigen verzoek;27 februari 1926 Persoonlijke titel van Lector Wis- en Natuurkunde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;284725719;;68412983
33;;Altona;Cornelis;Cees;Man;;23-9-1931;Makassar;Nederlands-Indië;13-12-2008;Leiderdorp;Nederland;Promotie;Leiden;1964;Molecular structure and conformation of some halogeno-1, 4-dioxanes;Gewoon Lector;Scheikunde;5-1-1971;1-2-1971;Organische chemie;;;Wiskunde en Natuurwetenschappen;;;;Gewoon Hoogleraar;Scheikunde;20-12-1979;;Organische chemie;;;Wiskunde en Natuurwetenschappen;;;;;;;;;;;;;;;;;;;;;;;;;;;;7917071;;67585884
35;;Amesz;Jan;;Man;;11-3-1934;Gouda;Nederland;29-1-2001;Leiderdorp;Nederland;Promotie;Leiden;1964;Intracellular reactions of nicotinamidedinucleotide in photosynthetic organisms;Gewoon Lector;Natuurkunde;19-9-1967;1-10-1967;Biofysica;23-4-1968;De Motor van het leven;Wiskunde en Natuurwetenschappen;;;;Gewoon Hoogleraar;Natuurkunde;20-12-1979;;Biofysica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB. der R.U.te Leiden 1968/69 blz. 255.;7465356;;72103043
38;;Anceaux;Johannes Cornelis;;Man;;4-7-1920;Schiedam;Nederland;6-8-1988;Leiden;Nederland;Promotie;Leiden;1952;The Wolio language : outline of grammatical description and texts;Gewoon Hoogleraar;Aziatische Talen en Culturen;14-8-1971;1-9-1971;Indonesische en Oceanische taalkunde;3-12-1971;Indonesië en Oceanië. Een taalkundige terreinverkenning;Letteren;1-2-1986;Eervol ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1972 blz. 66.;97623346;;72250259
40;;André de la Porte;Gillis;;Man;;25-2-1866;Boxtel;Nederland;12-3-1950;Den Haag;Nederland;Promotie;Amsterdam;1890;Wraak en straf;Gewoon Hoogleraar;"Burgerlijk Recht;Nederlands-Indië;Strafrecht";8-3-1918;;Het Nederlandsch-Indisch Privaat- en Strafrecht;16-10-1918;Over codificatie van materieel privaatrecht in het bizonder van Ned.-Indisch Adatrecht;Rechtsgeleerdheid;21-9-1931;Ontslag op verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: J.B. der R.U. te Leiden 1919 blz. 86 en 1931 blz. 193 en In Mem. JB der R.U. te Leiden 1950 blz. 95 en BWN deel I blz. 13;282445878;1660042;72983213
45;;Antal de Felsögeller;Kornél Vilmos;;Man;;19-4-1917;Boedapest;Hongarije;2003;;;Promotie;Leiden;1955;Enkele beschouwingen over de waardering van het incourante aandeel voor de Wet op de Vermogensbelasting 1892 en de Successiewet;Gewoon Lector;Belastingrecht;28-7-1947;5-9-1947;Belastingrecht;19-12-1947;Eenvoud in het belastingrecht in Nederland;Rechtsgeleerdheid;;;;Buitengewoon Hoogleraar;Belastingrecht;7-2-1956;1-10-1955;Belastingrecht;8-6-1956;Enkele beschouwingen over het interpreteren door de belastingrechter;Rechtsgeleerdheid;3-10-1975;1975-10-02  Eervol ontslag op eigen verzoek miv 1975-10-03. Naar Hoge Raad der Nederlanden;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1956 blz. 117.;306171869;;73637475
47;;Anthonides;Johannes;Jan;Man;;1569;Alkmaar;Nederland;Tussen 1635 en 1640;Amsterdam;Nederland;;;;;Gewoon Lector;Arabische Taal- en Letterkunde;3-3-1612;;;;;Letteren;1613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(LETTERKUNDE) 1612-1613. Lector.;"zie: Molhuysen „Bronnen"" II- - van der Aa 1 - Nieuw Nederl. Biogr. Woordenboek IX K.";34852863;;71879730
49;;Antoniadis;Sophia;;Vrouw;;31-7-1895;Piraeus;Griekenland;25-1-1972;Athene;Griekenland;Promotie;Parijs;1930;L'Evangile de Luc : esquisse de grammaire et de style;Buitengewoon Hoogleraar;Literatuurwetenschap;19-7-1929;;Grieksche Taal- en Letterkunde van den Oud-Christelijken, den Byzantijnschen en den nieuweren tijd;13-11-1929;Importance du grec moderne;Letteren;;;Eerste vrouwelijke hoogleraar in Leiden.;Gewoon Hoogleraar;;12-8-1953;;Grieksche Taal- en Letterkunde van den Oud-Christelijken, den Byzantijnschen en den nieuweren tijd;;;;1-10-1955;1956-02-04  Ontslag op verzoek miv 1955-10-01.;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1930 blz. 151 en In Mem. JB. LUF 1972 blz. 82.;70404065;1887170;69999430
54;;Arkel;Anton Eduard van;;Man;;19-11-1893;Den Haag;Nederland;14-3-1976;Amsterdam;Nederland;Promotie;Utrecht;1920;Uitvlokkingssnelheid van het seleensol;Gewoon Hoogleraar;Scheikunde;21-7-1934;;Anorganische scheikunde. 1940-09-16 Tevens onderwijs in physische Scheikunde.1951-06-11 Onderwijs opdracht voor physische scheikunde vervallen;26-10-1934;Nieuwere inzichten in de scheikunde.;Wiskunde en Natuurwetenschappen;29-5-1964;Ontslag wegens Emeritaat;"1942-05-30  Eervol ontslag op eigen verzoek. 1945-09-04  Herbenoemd. Rector Magnificus 1955-1956. 1956-02-08 Diesrede; ""Miskende Wetenschap"".  1964-05-29 Afscheidscollege.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"zie: JB der R.U. te Leiden 1935 blz. 72, JB 1975-1980 In Mem. blz. 111, BWN deel
            II blz. 13 en KNAW 1976 blz. 184.";85526435;"1582046; 1620598";69116466
55;;Arkel;Dirk van;;Man;;17-5-1924;Eindhoven;Nederland;-2022;;Nederland;Promotie;Leiden;1966;Antisemitism in Austria;Gewoon Lector;Geschiedenis;4-8-1966;1-9-1966;Sociale Geschiedenis;6-6-1967;Clio en Minerva. Sociale geschiedenis en sociale wetenschap;Letteren;;;;Gewoon Hoogleraar;Geschiedenis;21-10-1969;;Sociale Geschiedenis;;;Letteren;1-9-1986;eerval ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1967/68 blz. 238.;79044999;;71793712
57;;Arminius;Jacob Hermanszoon;;Man;;10-10-1560;Oudewater;Nederland;19-10-1609;Leiden;Nederland;;;;;Gewoon Hoogleraar;Dogmatiek;8-5-1603;;;;;Godgeleerdheid;1609;Overleden;Rector Magnificus 1605-1606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1603-1609. Hoogleeraar.;"zie. Molhuysen „Bronnen"" I: - Nieuw Nederl. Biogr. Woordenboek I K. 170.";37709819;"1582066; 1619754; 1620151; 1620394; 1620254; 1623471; 1624502; 1623152; 1623122; 1621672; 1621083; 1620196; 1620554; 1623125; 1625543; 1620106; 1623952; 1622850; 1623286; 1620494; 1624598";69852812
59;;Arntzenius;Alexander Cornelis;;Man;;15-6-1922;Den Haag;Nederland;10-2-1995;;;Promotie;Leiden;1968;A model of excitation of the human heart : its value in establishing a link between pathway of excitation and clinical;Gewoon Hoogleraar;"Cardiologie;Inwendige Geneeskunde";2-11-1972;1-12-1972;Inwendige Geneeskunde met een bijzondere opdracht voor de cardiologie;15-2-1974;Curatieve en preventieve cardiologie;Geneeskunde;1-7-1984;Eervol ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1970-1975 blz. 71.;60361019;1276093;67501729
61;;Asbeck;Frederik Mari van;;Man;Baron;27-2-1889;Den Helder;Nederland;9-2-1968;Leiden;Nederland;Promotie;Leiden;1916;Onderzoek naar den juridischen wereldbouw;Bijzonder Hoogleraar;"Nederlands-Indië;Staatsrecht";16-1-1939;;Vergelijkend Koloniaal Staatsrecht;26-5-1939;Internationale Invloed in Koloniaal Bewind;Rechtsgeleerdheid;1-6-1942;Eervol ontslag op eigen verzoek;1938-07-07 Bijzonder Hoogleraar Rechtsgeleerdheid vanwege het Leids Universiteits Fonds;Gewoon Hoogleraar;Staatsrecht;15-9-1945;;Staats- en Administratief Recht van Ned.-Indië, Suriname en Curacao. 1947-07-28  Onderwijsopdracht gewijzigd in : Volkenrecht en internationale politieke geschiedenis;;;;21-9-1959;1959-04-14  Ontslag wegens Emeritaat miv 1959-09-21;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1939 blz. 77 en In Mem. JB 1968/69 blz. 262.;76714568;1663260;68926766
63;;Asselbergs;Wilhelmus Johann Maria Antonius;;Man;;2-1-1903;Bergen op Zoom;Nederland;27-7-1968;Nijmegen;Nederland;;;;;Bijzonder Hoogleraar;Nederlandse Taal- en Letterkunde;30-3-1940;;Vondelstudie;11-10-1940;Pascha Problemen;Letteren;1952;Ontslag op verzoek;Bijzonder Hoogleraar Letteren en Wijsbegeerte vanwege de Vondelstichting. 1942-05-01 (Besch) Eervol ontslag op eigen verzoek. 1945-09-17 Herbenoemd.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"zie: JB der R.U. te Leiden 1941 blz. 45 en In Mem. JB Mij. der Ned. Letterk.
            1968/69 blz. 107.";49396018;;68476841
65;;Assen;Cornelis Jacobus van;;Man;;25-8-1788;Harlingen;Nederland;13-9-1859;Velp;Nederland;Promotie;Franeker;1809;Disputatio juridico-literaria de M. Tullii Ciceronis oratione pro Aulo Cluentio Avito;Gewoon Hoogleraar;Romeins Recht;28-5-1821;;Romeins en hedendaags recht;29-9-1821;;Rechtsgeleerdheid;14-12-1858;Ontslag wegens emeritaat;"1831-1833 Staatsraad in buitengewone dienst van Prins Frederik en secretaris en adviseur van de Prins van Oranje; 1833 hervat colleges in Romeins recht en geldend burgelijk recht. Rector Magnificus 1830-1831";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1821-1858. Hoogleeraar.;zie: Nieuw Nederl. Biogr. Woordenboek II K. 42.;15876071;"1621307; 1622449";69986924
66;;Asser;Carel;;Man;;1-6-1843;Den Haag;Nederland;10-12-1898;Leiden;Nederland;Promotie;Leiden;1866;De telegraphie in hare rechtsgevolgen;Gewoon Hoogleraar;Burgerlijk Recht;20-7-1892;;Burgerlijk recht, handelsrecht en burgerlijke rechtsvordering;19-10-1892;;Rechtsgeleerdheid;1898;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1892-1898. Hoogleeraar.;zie: Nieuw Nederl. Biogr. Woordenboek III K. AA.;62872763;1581921;68311656
71;;Baas Becking;Lourens Gerhard Marinus;;Man;;4-1-1895;Deventer;Nederland;6-1-1963;Canberra;Australië;Promotie;Utrecht;1921;Radiation and vital phenomena;Gewoon Hoogleraar;Biologie;4-10-1930;;Plantkunde;28-1-1931;Gaia of leven en aarde;Wiskunde en Natuurwetenschappen;16-11-1945;Ontslag op verzoek;1942-05-30  Eervol ontslag op eigen verzoek . 1945-09-04 Herbenoemd;;;;;;;;;16-10-1945;Eervol ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1931 blz. 109 en 1963 blz. 192. 4 BACHRACH - BALJON;94116151;;87188600
75;;Bachrach;Alfred Gustave Herbert;Fred;Man;;9-12-1914;Frankfurt am Main;Duitsland;18-12-2009;;Verenigd Koninkrijk, Engeland;Promotie;Oxford;1951;Sir Constantine Huygens and some trends in the literature and art of seventeenth-century England and Holland;Buitengewoon Hoogleraar;Engelse Taal- en Letterkunde;27-6-1953;14-8-1953;Engelse Letterkunde;30-10-1953;Het dichteroog in de Engelse Letterkunde;Letteren;;;;Gewoon Hoogleraar;Engelse Taal- en Letterkunde;12-9-1955;;Engelse Letterkunde;;;;1-11-1980;Eervol ontslag op eigen verzoek;"1980-11-01 Afscheidscollege: ""Storm en Letteren""";;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1954 blz. 116.;57503331;;70331952
76;;Baehr;Peter René;Peter;Man;;1-1-1935;Amsterdam;Nederland;29-11-2010;Heemstede;Nederland;Promotie;Washington;1964;Dilemmas in United States foreign policy in the United Nations with regard to problems of national self-determination (1946-1959);Bijzonder Hoogleraar;;4-7-1986;1-9-1986;Mensenrechten en buitenlands beleid (Cleveringa leerstoel);26-11-1986;Mensenrechten en buitenlands beleid: verenigbare grootheden?;"Rechtsgeleerdheid; Sociale Wetenschappen";1-9-1987;;;Onbezoldigd Gewoon Hoogleraar;Internationaal Recht;6-5-1987;;Mensenrechten en buitenlands beleid;;;;1-9-1992;;Onbezoldigd hoogleraar voor het tijdvak 1 september 1987 tot 1 september  1992;;;;;;;;;;;;;;;;;;;;;;;"(Cleveringaleerstoel) voor het tijdvak van 1 sept. 1986 tot 1 sept. 1987.
             Mensenrechten en buitenlands beleid.";;84989466;;68588763
78;;Baerheim Svendsen;Anders;;Man;;26-4-1920;Oslo;Nederland;2004;Oslo?;Noorwegen;Promotie;Oslo;1954;Zur Chemie norwegischer Umbelliferen : Die Gattungen Pimpinella und Angelica sowie die Verbreitung der Chlorogensa?ure in norwegischen Umbelliferen;Gewoon Hoogleraar;Farmacie;11-12-1964;1-6-1965;Farmacognosie;8-10-1965;Modern pharmacognosy;Wiskunde en natuurwetenschappen;1990;;"1990-04-27 Afscheidscollege: ""Natuurstoffen in de farmacie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1966/67 blz. 227.;84989715;;67923097
