ID;Nobelprijs;Achternaam;Voornamen;Roepnaam;Geslacht;Titulatuur 1;geboortedatum;Geboorteplaats;Geboorteland;Sterfdatum;Sterfplaats;Land van overlijden;Examentype;Instelling;Datum;Proefschrift;Aanstelling I;Vakgebied I;Datum aanstelling I;Ambtsaanvaarding I;Leeropdracht I;Datum oratie I;Oratie/openbare les;Faculteit I;Einde dienstverband I;Reden I;Bijzonderheden I;Aanstelling II;Vakgebied II;Datum aanstelling II;ambtsaanvaarding II;Leeropdracht II (Onderwijs of Vakgebied);Datum oratie/openbare les II;Oratie/Openbare les II;Faculteit II;Einde dienstverband II;Reden II;Bijzonderheden II;Aanstelling III;Vakgebied III;Datum aanstelling III;Ambtsaanvaarding III;Leeropdracht III (Onderwijs of Vakgebied);Datum oratie/openbare les III;Oratie/openbare les III;Faculteit III;Einde dienstverband III;Reden III;Bijzonderheden III;Aanstelling IV;Vakgebied IV;Datum aanstelling IV;Ambtsaanvaarding IV;Leeropdracht IV (Onderwijs of Vakgebied);Datum oratie/openbare les IV;Oratie/openbare les IV;Faculteit IV;Einde dienstverband IV;Reden IV;Bijzonderheden IV;CV 1;CV 2;VIAF;Handle;NTA / PPN
66;;Asser;Carel;;Man;;1843-06-01;Den Haag;Nederland;1898-12-10;Leiden;Nederland;Promotie;Leiden;1866;De telegraphie in hare rechtsgevolgen;Gewoon Hoogleraar;Burgerlijk Recht;1892-07-20;;Burgerlijk recht, handelsrecht en burgerlijke rechtsvordering;1892-10-19;;Rechtsgeleerdheid;1898;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1892-1898. Hoogleeraar.;zie: Nieuw Nederl. Biogr. Woordenboek III K. AA.;62872763;1581921;068311656
71;;Baas Becking;Lourens Gerhard Marinus;;Man;;1895-01-04;Deventer;Nederland;1963-01-06;Canberra;Australië;Promotie;Utrecht;1921;Radiation and vital phenomena;Gewoon Hoogleraar;Biologie;1930-10-04;;Plantkunde;1931-01-28;Gaia of leven en aarde;Wiskunde en Natuurwetenschappen;1945-11-16;Ontslag op verzoek;1942-05-30  Eervol ontslag op eigen verzoek . 1945-09-04 Herbenoemd;;;;;;;;;1945-10-16;Eervol ontslag op eigen verzoek;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1931 blz. 109 en 1963 blz. 192. 4 BACHRACH - BALJON;94116151;;087188600
75;;Bachrach;Alfred Gustave Herbert;Fred;Man;;1914-12-09;Frankfurt am Main;Duitsland;2009-12-18;;Verenigd Koninkrijk, Engeland;Promotie;Oxford;1951;Sir Constantine Huygens and some trends in the literature and art of seventeenth-century England and Holland;Buitengewoon Hoogleraar;Engelse Taal- en Letterkunde;1953-06-27;1953-08-14;Engelse Letterkunde;1953-10-30;Het dichteroog in de Engelse Letterkunde;Letteren;;;;Gewoon Hoogleraar;Engelse Taal- en Letterkunde;1955-09-12;;Engelse Letterkunde;;;;1980-11-01;Eervol ontslag op eigen verzoek;"1980-11-01 Afscheidscollege: ""Storm en Letteren""";;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1954 blz. 116.;57503331;;070331952
76;;Baehr;Peter René;Peter;Man;;1935-01-01;Amsterdam;Nederland;29-11-2010;Heemstede;Nederland;Promotie;Washington;1964;Dilemmas in United States foreign policy in the United Nations with regard to problems of national self-determination (1946-1959);Bijzonder Hoogleraar;;1986-07-04;1986-09-01;Mensenrechten en buitenlands beleid (Cleveringa leerstoel);1986-11-26;Mensenrechten en buitenlands beleid: verenigbare grootheden?;"Rechtsgeleerdheid; Sociale Wetenschappen";1987-09-01;;;Onbezoldigd Gewoon Hoogleraar;Internationaal Recht;1987-05-06;;Mensenrechten en buitenlands beleid;;;;1992-09-01;;Onbezoldigd hoogleraar voor het tijdvak 1 september 1987 tot 1 september  1992;;;;;;;;;;;;;;;;;;;;;;;"(Cleveringaleerstoel) voor het tijdvak van 1 sept. 1986 tot 1 sept. 1987.
             Mensenrechten en buitenlands beleid.";;84989466;;068588763
17;;Albinus;Bernhardus Siegfried;;Man;;1697-02-24;Frankfurt (Oder);Duitsland;1770-09-09;Leiden;Nederland;;;;;Gewoon Lector;Anatomie;1719-06-29;;;1719-10-02;;Geneeskunde;;;"Rector Magnificus 1710-1711; 1726-1727; 1738-1739";Gewoon Hoogleraar;"Anatomie;Heelkunde";1721-10-18;;;1721-11-19;;Geneeskunde;;;1745 Kreeg hulp van zijn broeder F.B. Albinus, die lector werd in Ontleed- en Heelkunde;Gewoon Hoogleraar;"Anatomie;Fysiologie";1745-08-30;;;1746-10-25;;Geneeskunde;1770-09-09;Overleden;;;;;;;;;;;;;"(GENEESKUNDE) 1719-1770; Lector 1719-1721, Hoogleeraar 1721-1770.";"zie: Molhuysen „Bronnen"" IV en V: - Nieuw Nederl. Biogr. Woordenboek IV K. 22.";44289907;"1581780; 1620885; 1625065; 1621357; 1625069; 1621925; 1624545; 1619803; 1621489; 1620877; 1621020";069708207
18;;Albinus;Fredericus Bernhardus;;Man;;1715-06-20;Leiden;Nederland;1778-05-23;Leiden;Nederland;Promotie;Leiden;1740;Specimen philosophicum inaugurale, de meteoris ignitis;Gewoon Lector;Anatomie;1745-08-09;;;1745-10-20;Over de vermakelijkheden der ontleedkunde;Geneeskunde;;;"In dienst genomen als hulp voor zijn broer B.S. Albinus. Rector Magnificus 1754-1755; 1766-1767; 1778";Gewoon Hoogleraar;Anatomie;1747-12-07;;;1748-06-28;Over de oorzaken der geschillen tusschen de beoefenaars der ontleedkunde;Geneeskunde;1770;;;Gewoon Hoogleraar;"Anatomie;Heelkunde";1770-10-01;;;1771-04-30;Over het wandelen, en de nuttigheid, noodzakelijkheid en aangenaamheid daarvan;Geneeskunde;1778-05-23;Overleden;;;;;;;;;;;;;"(GENEESKUNDE) 1745-1778; Lector 1745-1747, Hoogleeraar 1747-1778.";"zie: Molhuysen „Bronnen"" V en VI; - Nieuw Nederl Biogr. Woordenboek IV K. 24.";30308324;;145852458
21;;Aler;Jean Matthieu Marie;;Man;;1910-07-13;Amsterdam;Nederland;1992-06-30;Amsterdam;Nederland;Promotie;Amsterdam;1947;Im Spiegel der Form : stilkritische Wege zur Deutung von Stefan Georges Maximin-dichtung;Gewoon Hoogleraar;Duitse Taal- en Letterkunde;1956-06-19;;Duitse Letterkunde;1956-11-09;De Sluier der Poëzie;Letteren;1965-05-07;Ontslag op verzoek;Vertrokken naar Universiteit van Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1957 blz. 119.;46803608;;068926413
1;;Aalst;Theodoor Pieter Hendrik van;;Man;;1849-01-15;Den Haag;Nederland;1937-03-09;Den Haag;Nederland;Promotie;Leiden;1878;Observationes in historiam Romanam extremi liberae reipublicae temporis;Gewoon Lector;Geschiedenis;1904-09-05;;Geschiedenis der Middeleeuwen en de politieke aardrijkskunde;;;Letteren;1905;;Lector ter vervanging van Prof. P.L. Muller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(LETTEREN EN WIJSBEGEERTE) 1904-1905. Lector.;;288231766;;06991009X
3;;Ablaing;Willem Matthias d';;Man;;1851-08-29;Batavia;Nederlands-Indië;1889-05-28;Leiden;Nederland;Promotie;Leiden;1877;De zoogenoemde schuldvernieuwing door wissels;Gewoon Lector;Romeins Recht;1879-11-28;;Romeins recht en zijn geschiedenis;;;Rechtsgeleerdheid;;;;Gewoon Hoogleraar;Romeins Recht;1882-04-14;;Romeins recht en zijn geschiedenis;1882-05-31;;Rechtsgeleerdheid;1889-05-28;Overleden;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1879-1889. Lector 1879-1882, Hoogleeraar 1882-1889.;zie: Nieuw Nederl. Biogr. Woordenboek X K. 5.;215136034;1662702;070311625
6;;Abma;Ernst;;Man;;1924-07-12;Nijmegen;Nederland;2017-03-25;;;Promotie;Utrecht;1962;Leiding en leden in landbouwcoöperaties;Gewoon Lector;Sociologie;1969-02-06;1969-03-01;Sociologische analyse;;;Sociale Wetenschappen;;;;Gewoon Hoogleraar;Sociologie;1979-12-20;;Sociologische analyse;;;Sociale Wetenschappen;1987-08-01;1987-05-12  Eervol ontslag op eigen verzoek miv 1987-08-01;"1987-09-04 Afscheidscollege: ""Protest als sociaal verschijnsel en als sociaal begrip""";;;;;;;;;;;;;;;;;;;;;;;;;194355207;;07406150X
7;;Abragam;Anatole;;Man;;1914-12-15;Griva-Semgallen;Rusland;2011-06-08;Parijs;Frankrijk;Promotie;Oxford;1950;Some magnetic properties of crystals;Buitengewoon Hoogleraar;Natuurkunde;1979-05-25;1980-03-01;Lorentz leerstoel;;;Wiskunde en Natuurwetenschappen;;;Buitengewoon Hoogleraar wiskunde en natuurwetenschappen (Lorentzleerstoel) voor het tijdvak van 1980-03-01 tot 1980-07-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Lorentzleerstoel) voor het tijdvak van 1 maart 1980 tot 15 juli 1980. Vakgebied    Theoretische natuurkunde.;;79042222;;067472605
8;;Abraham;Robert Emil;;Man;;1937-05-13;Wenen;Oostenrijk;2015-11-26;;;Promotie;Amsterdam;1970;Analyse van de geneesmiddelenreclame door middel van advertenties in medische vakbladen;Gewoon Lector;Psychiatrie;1978-11-25;1979-01-01;Klinische psychiatrie, in het bijzonder de psychotherapie;1979-09-07;Wat je zegt dat ben je ook zelf. Bespiegelingen over psychotherapie, psychotherapeut en samenleving;Geneeskunde;;;;Gewoon hoogleraar;Psychiatrie;1979-12-20;;Klinische psychiatrie, in het bijzonder de psychotherapie;;;Geneeskunde;;;;;;;;;;;;;;;;;;;;;;;;;;;;75643043;1655094;070603332
9;;Acquoy;Johannes Gerhardus Rijk;;Man;;1829-01-03;Amsterdam;Nederland;1896-12-15;Leiden;Nederland;Promotie;Leiden;1857;Gerardi Magni Epistolae XIV, e codice regio Hagano nunc primum editae et perpetua annotatione, qua melius et ipse et tempora ejus cognoscantur, instructae quas ... pro gradu doctoratus ... examini submittit;Gewoon Hoogleraar;Bijbelwetenschap;1878-01-18;;Bijbelse en practische godgeleerdheid;1878-05-28;;Godgeleerdheid;;;Hoogleraar Godgeleerdheid vanwege Synode der Nederlandse Hervormde Kerk;Gewoon Hoogleraar;Geschiedenis van de Godsdienst;1881-05-29;;Geschiedenis van de Leerstellingen van den Christelijken Godsdienst;1881-12-07;;Godgeleerdheid;1896-12-15;Overleden;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1878-1896. Hoogleeraar vanwege de Synode der Nederl.Hervormde Kerk 1878-1881, Gewoon Hoogleeraar 1881-1896.;zie: Nieuw Nederl. Biogr. Woordenboek II K. 8: - P. J. Blok in Pallas Leidensis MCMXXV: -F. Pijper in Levensberichten van de Mij. der Nederl. Letterkunde te Leiden 1897-1898.SlEOENBEEK VAN HEUKELOM-LAMME, Curatoren1 AEMILIÜS - ALBINUS;49591962;1582085;069877149
10;;Addink;Alberti Daniël François;;Man;;1935-03-31;Eindhoven;Nederland;2006-04-30;Leiden;Nederland;Promotie;Utrecht;1968;Some aspects of carbonic anhydrase of Sepia officinalis (L.);Gewoon Hoogleraar;Biologie;1974-10-11;1974-11-01;Experimentele dierkunde, in het bijzonder de dierenfysiologie;1975-09-19;Regulatie en adaptie in levensfuncties;Wiskunde en Natuurwetenschappen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1975-1980 blz. 28.;77039589;;067498035
78;;Baerheim Svendsen;Anders;;Man;;1920-04-26;Oslo;Nederland;2004;Oslo?;Noorwegen;Promotie;Oslo;1954;Zur Chemie norwegischer Umbelliferen : Die Gattungen Pimpinella und Angelica sowie die Verbreitung der Chlorogensäure in norwegischen Umbelliferen;Gewoon Hoogleraar;Farmacie;1964-12-11;1965-06-01;Farmacognosie;1965-10-08;Modern pharmacognosy;Wiskunde en natuurwetenschappen;1990;;"1990-04-27 Afscheidscollege: ""Natuurstoffen in de farmacie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1966/67 blz. 227.;84989715;;067923097
11;;Adelman-Glicman;Irma;;Vrouw;;1930-03-14;Cernowitz;Roemenië;2017-02-05;;;Promotie;Berkeley;1955;The monetary theory of Leon Walras : a general equilibrium analysis of money;Bijzonder Hoogleraar;;1977-05-03;1977-09-01;Armoede en ongelijkheid (Cleveringa leerstoel);1977-10-14;Redistribution before growth. A strategy for developing countries;"Rechtsgeleerdheid; Sociale Wetenschappen";1978-11-01;;Buitengewoon Hoogleraar Sociale Wetenschappen en Rechtsgeleerdheid (Cleveringastoel) voor het tijdvak van 1977-09-01 tot 1978-09-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(Cleveringaleerstoel) voor het tijdvak van 1 sept. 1977 tot 1 sept. 1978.  Armoede en ongelijkheid.;zie: JB der R.U. te Leiden 1975-1980 blz. 53.;41823552;;067791964
12;;Adriaanse;Hendrik Johan;;Man;;1940-04-11;Winschoten;Nederland;2012-08-28;;;Promotie;Leiden;1974;Zu den Sachen selbst : Versuch einer Konfrontation der Theologie Karl Barths mit der phänomenologischen Philosophie Edmund Husserls;Gewoon Hoogleraar;;1978-11-25;1978-01-01;Godsdienstwijsbegeerte, zedekunde en encyclopedie van de Godgeleerdheid / Centrale Interfaculteit: Godsdienstwijsbegeerte;1979-12-21;Het specifiek theologische aan een Rijksuniversiteit. De verborgenheid der Godgeleerdheid;Godgeleerdheid;2001;Emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;113607915;1655099;068402066
15;;Alberti;Joannes;Joan;Man;;1698-03-06;Assen;Nederland;1762-08-13;Leiden;Nederland;;;;;Gewoon Hoogleraar;;1740-07-12;;Godgeleerdheid;1740-10-05;;Godgeleerdheid;1762-08-13;Overleden;Rector Magnificus 1748-1749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1740-1762. Hoogleeraar.;"zie: Molhuysen „Bronnen"" V: - Nieuw Nederl. Biogr. Woordenboek I K. 59.";54889220;"1581816; 1620931; 1623609; 1621499; 1620465; 1621934; 1621794";069861463
16;;Albinus;Bernhardus;Bernard;Man;;1653-01-07;Dessau;Duitsland;1721-09-07;Leiden;Nederland;Promotie;Leiden;1710;Disputatio juridica inauguralis de querela inofficiosi testamenti;Gewoon Hoogleraar;Anatomie;1702-06-29;;;1702-10-19;;Geneeskunde;1721-09-07;Overleden;Theoretische en Praktische Geneeskunde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1702-1721. Hoogleeraar.;"zie: Molhuysen „Bronnen"" IV: - Nieuw Nederl. Biogr. Woordenboek IV K. 21.";74662255;;068361211
24;;Allamand;Johannes Nicolaus Sebastianus;;Man;;1713-09-18;Lausanne;Zwitserland;1787-03-02;Leiden;Nederland;;;;;Gewoon Hoogleraar;"Natuurlijke Historie;Wiskunde";1749-02-01;;Wiskunde en wijsbegeerte;1749-05-30;;"Wiskunde en Natuurwetenschappen; Wijsbegeerte";;;1751 Opdracht het Kabinet van Natuurlijke Historie te ordenen en te beheren. Rector Magnificus 1759-1760;Gewoon Hoogleraar;Natuurkunde;1761-09-19;;Physica experimentale;;;"Wiskunde en Natuurwetenschappen; Wijsbegeerte";1784;emeritaat;;;;;;;;;;;;;;;;;;;;;;;;(WISKUNDE EN WIJSBEGEERTE) 1749-1784. Hoogleeraar.;"zie: Molhuysen „Bronnen"" V en VI. - Nieuw Nederl. Biogr. Woordenboek I K. 75.";66377611;"1582057; 1622564; 1623168; 1621091; 1624483";06986151X
30;;Alphen;Jan van;;Man;;1900-03-08;Leiden;Nederland;1969-05-31;Voorburg;Nederland;Promotie;Leiden;1924;Inwerking van keteenen op hydrazine-derivaten;Gewoon Lector;Scheikunde;1926-02-27;1928-07-01;Organische scheikunde;;;Wiskunde en Natuurwetenschappen;1946-03-01;Eervol ontslag op eigen verzoek;27 februari 1926 Persoonlijke titel van Lector Wis- en Natuurkunde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;284725719;;068412983
33;;Altona;Cornelis;Cees;Man;;1931-09-23;Makassar;Nederlands-Indië;2008-12-13;Leiderdorp;Nederland;Promotie;Leiden;1964;Molecular structure and conformation of some halogeno-1, 4-dioxanes;Gewoon Lector;Scheikunde;1971-01-05;1971-02-01;Organische chemie;;;Wiskunde en Natuurwetenschappen;;;;Gewoon Hoogleraar;Scheikunde;1979-12-20;;Organische chemie;;;Wiskunde en Natuurwetenschappen;;;;;;;;;;;;;;;;;;;;;;;;;;;;7917071;;067585884
35;;Amesz;Jan;;Man;;1934-03-11;Gouda;Nederland;2001-01-29;Leiderdorp;Nederland;Promotie;Leiden;1964;Intracellular reactions of nicotinamidedinucleotide in photosynthetic organisms;Gewoon Lector;Natuurkunde;1967-09-19;1967-10-01;Biofysica;1968-04-23;De Motor van het leven;Wiskunde en Natuurwetenschappen;;;;Gewoon Hoogleraar;Natuurkunde;1979-12-20;;Biofysica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB. der R.U.te Leiden 1968/69 blz. 255.;7465356;;072103043
38;;Anceaux;Johannes Cornelis;;Man;;1920-07-04;Schiedam;Nederland;1988-08-06;Leiden;Nederland;Promotie;Leiden;1952;The Wolio language : outline of grammatical description and texts;Gewoon Hoogleraar;Aziatische Talen en Culturen;1971-08-14;1971-09-01;Indonesische en Oceanische taalkunde;1971-12-03;Indonesië en Oceanië. Een taalkundige terreinverkenning;Letteren;1986-02-01;Eervol ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1972 blz. 66.;97623346;;072250259
40;;André de la Porte;Gillis;;Man;;1866-02-25;Boxtel;Nederland;1950-03-12;Den Haag;Nederland;Promotie;Amsterdam;1890;Wraak en straf;Gewoon Hoogleraar;"Burgerlijk Recht;Nederlands-Indië;Strafrecht";1918-03-08;;Het Nederlandsch-Indisch Privaat- en Strafrecht;1918-10-16;Over codificatie van materieel privaatrecht in het bizonder van Ned.-Indisch Adatrecht;Rechtsgeleerdheid;1931-09-21;Ontslag op verzoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: J.B. der R.U. te Leiden 1919 blz. 86 en 1931 blz. 193 en In Mem. JB der R.U. te Leiden 1950 blz. 95 en BWN deel I blz. 13;282445878;1660042;072983213
